,gameId,season_x,week,lastName,firstName,position,uniformNumber,opponent,team,att,comp,passYds,passTds,ints,sacks,sackYds,rush,rushYds,rushTds,rec,recYds,recTds,QB Rating,season_y,type,surface,temperature,conditions,windSpeed
374,3604,2015,2,Manning,P,QB,18,Chiefs,Broncos,45,26,256,3,1,3,18,0,0,0,0,0,0,86.89814814814815,2015,Regular,Grass,84.0,clear sky,13.8
383,3611,2015,2,Manziel,J,QB,2,Titans,Browns,15,8,172,2,0,2,14,3,1,0,0,0,0,138.75,2015,Regular,Grass,68.0,mostly cloudy,13.8
403,3610,2015,2,Palmer,C,QB,9,Bears,Cardinals,24,17,185,4,1,0,0,2,-2,0,0,0,0,131.4236111111111,2015,Regular,Grass,71.1,scattered clouds,9.2
413,3612,2015,2,Rivers,P,QB,17,Bengals,Chargers,27,21,241,2,1,4,18,1,5,0,0,0,0,113.34876543209876,2015,Regular,Turf,71.1,partly cloudy,8.1
421,3604,2015,2,Smith,A,QB,11,Broncos,Chiefs,25,16,191,0,2,3,17,3,15,0,0,0,0,53.91666666666667,2015,Regular,Grass,84.0,clear sky,13.8
442,3617,2015,2,Romo,T,QB,9,Eagles,Cowboys,27,18,195,0,0,3,18,1,12,0,0,0,0,87.7314814814815,2015,Regular,Grass,78.1,partly cloudy,9.2
453,3616,2015,2,Tannehill,R,QB,17,Jaguars,Dolphins,44,30,359,2,0,1,8,3,17,0,0,0,0,108.04924242424241,2015,Regular,Grass,91.0,scattered clouds,10.4
464,3617,2015,2,Bradford,S,QB,8,Cowboys,Eagles,37,23,224,1,2,1,5,2,9,0,0,0,0,65.59684684684684,2015,Regular,Grass,78.1,partly cloudy,9.2
474,3614,2015,2,Ryan,M,QB,2,Giants,Falcons,46,30,363,1,0,1,6,1,-1,0,0,0,0,96.55797101449276,2015,Regular,Turf,77.0,clear sky,9.2
487,3614,2015,2,Manning,E,QB,10,Falcons,Giants,40,27,292,2,0,2,1,2,23,0,0,0,0,105.41666666666667,2015,Regular,Turf,77.0,clear sky,9.2
499,3616,2015,2,Bortles,B,QB,5,Dolphins,Jaguars,33,18,273,2,0,0,0,2,27,0,0,0,0,102.20959595959596,2015,Regular,Grass,91.0,scattered clouds,10.4
519,3608,2015,2,Stafford,M,QB,9,Vikings,Lions,53,32,286,2,1,1,1,4,20,0,0,0,0,79.59905660377359,2015,Regular,Turf,71.1,scattered clouds,13.8
528,3618,2015,2,Rodgers,A,QB,12,Seahawks,Packers,33,25,249,2,0,2,15,6,23,0,0,0,0,116.85606060606062,2015,Regular,Grass,55.9,clear sky,5.8
537,3605,2015,2,Newton,C,QB,1,Texans,Panthers,37,18,195,2,1,2,17,10,76,1,0,0,0,71.3400900900901,2015,Regular,Grass,88.0,mostly cloudy,4.6
547,3609,2015,2,Brady,T,QB,12,Bills,Patriots,58,37,458,3,0,1,0,3,-4,0,0,0,0,105.38793103448276,2015,Regular,Turf,64.9,mostly cloudy,8.1
558,3615,2015,2,Carr,D,QB,5,Ravens,Raiders,46,30,351,3,1,1,0,2,23,0,0,0,0,100.90579710144927,2015,Regular,Grass,84.9,partly cloudy,11.5
569,3613,2015,2,Foles,N,QB,9,Washington,Rams,32,17,150,1,0,1,4,1,1,0,0,0,0,76.30208333333334,2015,Regular,Grass,78.8,scattered clouds,4.6
580,3615,2015,2,Flacco,J,QB,5,Raiders,Ravens,45,32,384,2,1,0,0,2,2,0,0,0,0,102.45370370370372,2015,Regular,Grass,84.9,partly cloudy,11.5
603,3618,2015,2,Wilson,R,QB,3,Packers,Seahawks,30,19,206,2,1,2,1,10,78,0,0,0,0,91.80555555555556,2015,Regular,Grass,55.9,clear sky,5.8
613,3607,2015,2,Roethlisberger,B,QB,7,49ers,Steelers,27,21,369,3,0,0,0,1,-1,0,0,0,0,160.87962962962965,2015,Regular,Grass,66.9,partly cloudy,5.8
621,3605,2015,2,Mallett,R,QB,15,Panthers,Texans,58,27,244,1,1,1,5,1,6,1,0,0,0,56.9683908045977,2015,Regular,Grass,88.0,mostly cloudy,4.6
633,3611,2015,2,Mariota,M,QB,8,Browns,Titans,37,21,257,2,0,5,26,3,19,0,0,0,0,96.34009009009009,2015,Regular,Grass,68.0,mostly cloudy,13.8
647,3608,2015,2,Bridgewater,T,QB,5,Lions,Vikings,18,14,153,1,0,1,2,6,21,1,0,0,0,120.83333333333333,2015,Regular,Turf,71.1,scattered clouds,13.8
657,3613,2015,2,Cousins,K,QB,12,Rams,Washington,27,23,203,1,0,1,8,0,0,0,0,0,0,116.74382716049381,2015,Regular,Grass,78.8,scattered clouds,4.6
678,3632,2015,3,Clausen,J,QB,2,Seahawks,Bears,17,9,63,0,0,1,9,3,13,0,0,0,0,61.642156862745104,2015,Regular,Turf,63.0,clear sky,6.9
687,3627,2015,3,Dalton,A,QB,14,Ravens,Bengals,32,20,383,3,1,2,11,5,10,1,0,0,0,122.265625,2015,Regular,Turf,73.4,mostly cloudy,12.7
696,3633,2015,3,Taylor,T,QB,2,Dolphins,Bills,29,21,277,3,0,0,0,3,12,0,0,0,0,136.70977011494253,2015,Regular,Grass,81.0,clear sky,0.0
717,3628,2015,3,McCown,J,QB,12,Raiders,Browns,49,28,341,2,1,4,19,0,0,0,0,0,0,83.80102040816327,2015,Regular,Grass,77.0,partly cloudy,13.8
749,3622,2015,3,Rivers,P,QB,17,Vikings,Chargers,34,21,246,1,1,3,26,0,0,0,0,0,0,81.25,2015,Regular,Turf,81.0,clear sky,13.8
760,3635,2015,3,Smith,A,QB,11,Packers,Chiefs,40,24,290,1,1,5,26,6,33,0,0,0,0,80.20833333333334,2015,Regular,Grass,64.0,overcast,4.6
772,3629,2015,3,Luck,A,QB,12,Titans,Colts,30,18,260,2,2,3,15,6,21,0,0,0,0,82.63888888888889,2015,Regular,Grass,79.0,overcast,8.1
783,3630,2015,3,Weeden,B,QB,3,Falcons,Cowboys,26,22,232,0,1,2,12,0,0,0,0,0,0,93.75,2015,Regular,Turf,90.0,mostly cloudy,6.9
790,3633,2015,3,Tannehill,R,QB,17,Bills,Dolphins,49,26,297,2,3,2,8,1,-1,0,0,0,0,59.6513605442177,2015,Regular,Grass,81.0,clear sky,0.0
801,3624,2015,3,Bradford,S,QB,8,Jets,Eagles,28,14,118,1,0,1,10,3,-2,0,0,0,0,73.21428571428571,2015,Regular,Turf,69.1,clear sky,5.8
809,3630,2015,3,Ryan,M,QB,2,Cowboys,Falcons,36,24,285,2,0,1,5,2,17,0,0,0,0,109.1435185185185,2015,Regular,Turf,90.0,mostly cloudy,6.9
818,3620,2015,3,Manning,E,QB,10,Washington,Giants,32,23,279,2,0,0,0,0,0,0,0,0,0,119.140625,2015,Regular,Turf,70.0,clear sky,0.0
827,3626,2015,3,Bortles,B,QB,5,Patriots,Jaguars,33,17,242,2,1,2,6,3,7,0,0,0,0,83.14393939393939,2015,Regular,Turf,73.0,clear sky,0.0
838,3624,2015,3,Fitzpatrick,R,QB,12,Eagles,Jets,58,35,283,2,3,1,7,4,13,0,0,0,0,62.64367816091955,2015,Regular,Turf,69.1,clear sky,5.8
855,3635,2015,3,Rodgers,A,QB,12,Chiefs,Packers,35,24,333,5,0,1,8,2,16,0,0,0,0,146.48809523809524,2015,Regular,Grass,64.0,overcast,4.6
866,3625,2015,3,Newton,C,QB,1,Saints,Panthers,31,20,315,2,0,1,3,7,33,1,0,0,0,119.69086021505377,2015,Regular,Grass,69.1,overcast,9.2
878,3626,2015,3,Brady,T,QB,12,Jaguars,Patriots,42,33,358,2,0,1,7,2,4,0,0,0,0,118.9484126984127,2015,Regular,Turf,73.0,clear sky,0.0
889,3628,2015,3,Carr,D,QB,5,Browns,Raiders,32,20,314,2,0,0,0,1,-1,0,0,0,0,115.88541666666667,2015,Regular,Grass,77.0,partly cloudy,13.8
914,3627,2015,3,Flacco,J,QB,5,Bengals,Ravens,49,32,362,2,1,0,0,0,0,0,0,0,0,92.38945578231292,2015,Regular,Turf,73.4,mostly cloudy,12.7
925,3625,2015,3,McCown,L,QB,12,Panthers,Saints,38,31,310,0,1,1,0,0,0,0,0,0,0,93.0921052631579,2015,Regular,Grass,69.1,overcast,9.2
937,3632,2015,3,Wilson,R,QB,3,Bears,Seahawks,30,20,235,1,0,4,23,6,28,0,0,0,0,101.38888888888889,2015,Regular,Turf,63.0,clear sky,6.9
967,3629,2015,3,Mariota,M,QB,8,Colts,Titans,44,27,367,2,2,2,16,0,0,0,0,0,0,84.18560606060606,2015,Regular,Grass,79.0,overcast,8.1
980,3622,2015,3,Bridgewater,T,QB,5,Chargers,Vikings,24,13,121,0,1,0,0,1,-1,0,0,0,0,50.86805555555556,2015,Regular,Turf,81.0,clear sky,13.8
991,3620,2015,3,Cousins,K,QB,12,Giants,Washington,49,30,316,1,2,1,11,0,0,0,0,0,0,69.7704081632653,2015,Regular,Turf,70.0,clear sky,0.0
1003,3645,2015,4,Kaepernick,C,QB,7,Packers,49ers,25,13,160,0,1,4,27,10,50,0,0,0,0,55.41666666666667,2015,Regular,Grass,70.0,scattered clouds,15.0
1013,3641,2015,4,Cutler,J,QB,6,Raiders,Bears,43,28,281,2,1,2,7,1,0,0,0,0,0,89.38953488372093,2015,Regular,Grass,59.0,mostly cloudy,15.0
1026,3643,2015,4,Dalton,A,QB,14,Chiefs,Bengals,24,17,321,1,0,0,0,3,16,0,0,0,0,130.72916666666669,2015,Regular,Turf,75.0,clear sky,8.1
1035,3640,2015,4,Taylor,T,QB,2,Giants,Bills,42,28,274,1,1,2,16,6,15,0,0,0,0,82.83730158730158,2015,Regular,Turf,64.0,mostly cloudy,9.2
1046,3646,2015,4,Manning,P,QB,18,Vikings,Broncos,27,17,213,1,2,2,13,2,-2,0,0,0,0,68.90432098765432,2015,Regular,Grass,55.0,mostly cloudy,11.5
1055,3644,2015,4,McCown,J,QB,12,Chargers,Browns,41,32,356,2,0,4,24,0,0,0,0,0,0,119.5630081300813,2015,Regular,Grass,66.0,overcast,10.4
1066,3650,2015,4,Winston,J,QB,3,Panthers,Buccaneers,43,26,287,2,4,2,17,4,12,0,0,0,0,57.0251937984496,2015,Regular,Grass,73.0,heavy rain,12.7
1084,3644,2015,4,Rivers,P,QB,17,Browns,Chargers,38,23,358,3,0,2,11,1,-1,0,0,0,0,118.0921052631579,2015,Regular,Grass,66.0,overcast,10.4
1095,3643,2015,4,Smith,A,QB,11,Bengals,Chiefs,45,31,386,0,0,5,38,5,25,0,0,0,0,95.23148148148147,2015,Regular,Turf,75.0,clear sky,8.1
1127,3637,2015,4,Tannehill,R,QB,17,Jets,Dolphins,44,19,198,2,2,3,31,1,4,0,0,0,0,53.03030303030303,2015,Regular,Turf,59.0,clear sky,5.0
1138,3642,2015,4,Bradford,S,QB,8,Washington,Eagles,28,15,266,3,0,3,24,1,14,0,0,0,0,122.02380952380952,2015,Regular,Grass,59.0,overcast,6.9
1160,3640,2015,4,Manning,E,QB,10,Bills,Giants,35,20,212,3,1,1,1,3,-2,0,0,0,0,91.60714285714285,2015,Regular,Turf,64.0,mostly cloudy,9.2
1178,3637,2015,4,Fitzpatrick,R,QB,12,Dolphins,Jets,29,16,218,1,1,0,0,9,34,0,0,0,0,76.50862068965517,2015,Regular,Turf,59.0,clear sky,5.0
1188,3649,2015,4,Stafford,M,QB,9,Seahawks,Lions,35,24,203,0,0,0,0,0,0,0,0,0,0,83.39285714285714,2015,Regular,Turf,61.0,clear sky,0.0
1198,3645,2015,4,Rodgers,A,QB,12,49ers,Packers,32,22,224,1,0,1,9,3,33,0,0,0,0,98.95833333333334,2015,Regular,Grass,70.0,scattered clouds,15.0
1206,3650,2015,4,Newton,C,QB,1,Buccaneers,Panthers,22,11,124,2,0,2,13,12,51,0,0,0,0,97.5378787878788,2015,Regular,Grass,73.0,heavy rain,12.7
1218,3641,2015,4,Carr,D,QB,5,Bears,Raiders,33,20,196,2,1,2,23,0,0,0,0,0,0,84.91161616161617,2015,Regular,Grass,59.0,mostly cloudy,15.0
1241,3636,2015,4,Flacco,J,QB,5,Steelers,Ravens,33,20,189,1,1,5,21,3,0,0,0,0,0,73.92676767676768,2015,Regular,Grass,55.9,overcast,6.9
1263,3649,2015,4,Wilson,R,QB,3,Lions,Seahawks,26,20,287,1,0,5,43,10,40,0,0,0,0,125.0,2015,Regular,Turf,61.0,clear sky,0.0
1273,3636,2015,4,Vick,M,QB,7,Ravens,Steelers,26,19,124,1,0,4,28,9,33,0,0,0,0,95.67307692307692,2015,Regular,Grass,55.9,overcast,6.9
1293,3646,2015,4,Bridgewater,T,QB,5,Broncos,Vikings,41,27,269,1,0,4,42,3,23,0,0,0,0,92.4288617886179,2015,Regular,Grass,55.0,mostly cloudy,11.5
1303,3642,2015,4,Cousins,K,QB,12,Eagles,Washington,46,31,290,1,0,1,0,1,0,1,0,0,0,91.75724637681158,2015,Regular,Grass,59.0,overcast,6.9
1314,3663,2015,5,Kaepernick,C,QB,7,Giants,49ers,35,23,262,2,0,1,3,3,23,0,0,0,0,107.08333333333336,2015,Regular,Turf,57.9,clear sky,4.6
1326,3656,2015,5,Cutler,J,QB,6,Chiefs,Bears,45,26,252,2,0,2,13,4,15,0,0,0,0,88.37962962962962,2015,Regular,Grass,84.0,clear sky,13.8
1338,3659,2015,5,Dalton,A,QB,14,Seahawks,Bengals,44,30,331,2,1,4,21,7,18,1,0,0,0,95.92803030303031,2015,Regular,Turf,71.1,clear sky,10.4
1348,3653,2015,5,Taylor,T,QB,2,Titans,Bills,17,10,109,1,0,3,20,8,76,1,1,4,0,97.42647058823529,2015,Regular,Grass,72.0,mostly cloudy,6.9
1359,3662,2015,5,Manning,P,QB,18,Raiders,Broncos,35,22,266,0,2,2,12,0,0,0,0,0,0,62.32142857142856,2015,Regular,Grass,64.9,partly cloudy,11.5
1368,3654,2015,5,McCown,J,QB,12,Ravens,Browns,51,36,457,2,0,4,35,3,12,1,0,0,0,111.31535947712419,2015,Regular,Turf,69.1,partly cloudy,3.5
1378,3652,2015,5,Winston,J,QB,3,Jaguars,Buccaneers,19,13,209,1,0,2,23,4,9,0,0,0,0,122.47807017543859,2015,Regular,Grass,82.9,scattered clouds,11.5
1398,3664,2015,5,Rivers,P,QB,17,Steelers,Chargers,48,35,365,2,1,2,11,0,0,0,0,0,0,99.73958333333334,2015,Regular,Grass,80.1,clear sky,4.6
1408,3656,2015,5,Smith,A,QB,11,Bears,Chiefs,30,16,181,1,0,3,11,3,21,0,0,0,0,82.77777777777779,2015,Regular,Grass,84.0,clear sky,13.8
1439,3657,2015,5,Bradford,S,QB,8,Saints,Eagles,45,32,333,2,2,0,0,1,3,0,0,0,0,88.47222222222223,2015,Regular,Grass,69.1,partly cloudy,10.4
1460,3663,2015,5,Manning,E,QB,10,49ers,Giants,54,41,441,3,1,0,0,1,11,0,0,0,0,110.18518518518519,2015,Regular,Turf,57.9,clear sky,4.6
1471,3652,2015,5,Bortles,B,QB,5,Buccaneers,Jaguars,33,23,303,4,1,4,25,1,21,0,0,0,0,126.19949494949496,2015,Regular,Grass,82.9,scattered clouds,11.5
1494,3658,2015,5,Rodgers,A,QB,12,Rams,Packers,30,19,241,2,2,2,5,8,39,0,0,0,0,82.77777777777776,2015,Regular,Grass,78.1,clear sky,16.1
1513,3662,2015,5,Carr,D,QB,5,Broncos,Raiders,39,26,249,1,1,3,19,1,-1,0,0,0,0,82.10470085470085,2015,Regular,Grass,64.9,partly cloudy,11.5
1525,3658,2015,5,Foles,N,QB,9,Packers,Rams,30,11,141,1,4,2,14,1,2,0,0,0,0,7.777777777777772,2015,Regular,Grass,78.1,clear sky,16.1
1536,3654,2015,5,Flacco,J,QB,5,Browns,Ravens,35,19,210,1,0,1,14,2,2,2,0,0,0,81.84523809523809,2015,Regular,Turf,69.1,partly cloudy,3.5
1546,3657,2015,5,Brees,D,QB,9,Eagles,Saints,43,26,335,2,1,4,32,1,-1,0,0,0,0,90.74612403100774,2015,Regular,Grass,69.1,partly cloudy,10.4
1558,3659,2015,5,Wilson,R,QB,3,Bengals,Seahawks,23,15,213,1,1,3,8,3,21,0,0,0,0,91.39492753623189,2015,Regular,Turf,71.1,clear sky,10.4
1568,3664,2015,5,Vick,M,QB,7,Chargers,Steelers,26,13,203,1,1,3,9,1,24,0,0,0,0,73.07692307692307,2015,Regular,Grass,80.1,clear sky,4.6
1589,3653,2015,5,Mariota,M,QB,8,Bills,Titans,32,21,187,0,1,2,8,5,47,0,0,0,0,68.09895833333334,2015,Regular,Grass,72.0,mostly cloudy,6.9
1608,3676,2015,6,Kaepernick,C,QB,7,Ravens,49ers,27,16,340,2,0,3,14,3,10,0,0,0,0,128.62654320987653,2015,Regular,Grass,66.9,scattered clouds,12.7
1629,3667,2015,6,Dalton,A,QB,14,Bills,Bengals,33,22,243,3,0,0,0,3,-2,0,0,0,0,118.62373737373737,2015,Regular,Turf,45.0,mostly cloudy,17.3
1640,3667,2015,6,Manuel,E,QB,3,Bengals,Bills,42,28,263,1,1,1,0,6,22,1,0,0,0,81.74603174603176,2015,Regular,Turf,45.0,mostly cloudy,17.3
1649,3666,2015,6,Manning,P,QB,18,Browns,Broncos,48,26,290,1,3,0,0,0,0,0,0,0,0,53.29861111111111,2015,Regular,Grass,46.9,mostly cloudy,16.1
1660,3666,2015,6,McCown,J,QB,12,Broncos,Browns,39,20,213,2,2,2,14,3,12,0,0,0,0,63.30128205128205,2015,Regular,Grass,46.9,mostly cloudy,16.1
1671,3672,2015,6,Palmer,C,QB,9,Steelers,Cardinals,45,29,421,1,2,1,7,2,-1,0,0,0,0,83.65740740740742,2015,Regular,Grass,42.1,overcast,11.5
1683,3675,2015,6,Rivers,P,QB,17,Packers,Chargers,65,43,503,2,0,2,11,0,0,0,0,0,0,99.71153846153845,2015,Regular,Grass,48.0,clear sky,5.8
1694,3668,2015,6,Smith,A,QB,11,Vikings,Chiefs,37,22,282,1,0,2,11,2,10,0,0,0,0,92.39864864864865,2015,Regular,Turf,62.1,partly cloudy,18.4
1717,3673,2015,6,Tannehill,R,QB,17,Titans,Dolphins,29,22,266,2,2,2,12,2,14,0,0,0,0,97.77298850574712,2015,Regular,Grass,62.1,clear sky,6.9
1727,3678,2015,6,Bradford,S,QB,8,Giants,Eagles,38,24,280,1,3,1,10,4,2,0,0,0,0,61.29385964912281,2015,Regular,Grass,48.0,clear sky,9.2
1750,3678,2015,6,Manning,E,QB,10,Eagles,Giants,38,24,189,1,2,3,23,1,12,0,0,0,0,62.28070175438596,2015,Regular,Grass,48.0,clear sky,9.2
1761,3669,2015,6,Bortles,B,QB,5,Texans,Jaguars,53,30,331,3,3,1,7,4,37,0,0,0,0,70.55817610062893,2015,Regular,Grass,70.0,mostly cloudy,24.2
1770,3671,2015,6,Fitzpatrick,R,QB,12,Washington,Jets,26,19,253,2,1,0,0,4,31,1,0,0,0,113.14102564102564,2015,Regular,Turf,46.9,clear sky,12.7
1790,3675,2015,6,Rodgers,A,QB,12,Chargers,Packers,29,16,255,2,0,3,18,2,14,0,0,0,0,107.6867816091954,2015,Regular,Grass,48.0,clear sky,5.8
1801,3674,2015,6,Newton,C,QB,1,Seahawks,Panthers,36,20,269,1,2,2,12,7,30,1,0,0,0,65.62500000000001,2015,Regular,Turf,61.0,overcast,5.8
1821,3676,2015,6,Flacco,J,QB,5,49ers,Ravens,53,33,343,2,2,0,0,0,0,0,0,0,0,77.79088050314465,2015,Regular,Grass,66.9,scattered clouds,12.7
1842,3674,2015,6,Wilson,R,QB,3,Panthers,Seahawks,30,18,235,1,0,3,19,8,53,0,0,0,0,95.83333333333334,2015,Regular,Turf,61.0,overcast,5.8
1855,3672,2015,6,Jones,L,QB,3,Cardinals,Steelers,12,8,168,2,0,0,0,1,-1,0,0,0,0,171.52777777777777,2015,Regular,Grass,42.1,overcast,11.5
1864,3669,2015,6,Hoyer,B,QB,8,Jaguars,Texans,36,24,293,3,0,1,6,5,5,0,0,0,0,119.3287037037037,2015,Regular,Grass,70.0,mostly cloudy,24.2
1873,3673,2015,6,Mariota,M,QB,8,Dolphins,Titans,33,21,219,1,2,5,37,0,0,0,0,0,0,67.61363636363636,2015,Regular,Grass,62.1,clear sky,6.9
1885,3668,2015,6,Bridgewater,T,QB,5,Chiefs,Vikings,31,17,249,1,2,1,5,3,-5,0,0,0,0,65.12096774193549,2015,Regular,Turf,62.1,partly cloudy,18.4
1895,3671,2015,6,Cousins,K,QB,12,Jets,Washington,43,25,196,1,2,1,5,1,1,0,0,0,0,57.89728682170544,2015,Regular,Turf,46.9,clear sky,12.7
1905,3679,2015,7,Kaepernick,C,QB,7,Seahawks,49ers,24,13,124,0,0,4,27,0,0,0,0,0,0,68.75,2015,Regular,Grass,63.0,clear sky,5.8
1916,3680,2015,7,Manuel,E,QB,3,Jaguars,Bills,42,24,298,2,2,4,40,8,38,0,0,0,0,75.29761904761904,2015,Regular,Grass,84.0,mostly cloudy,9.2
1936,3687,2015,7,Winston,J,QB,3,Washington,Buccaneers,29,21,297,2,0,1,8,1,5,0,0,0,0,128.0890804597701,2015,Regular,Grass,69.8,clear sky,9.2
1957,3689,2015,7,Rivers,P,QB,17,Raiders,Chargers,58,38,336,3,2,1,9,0,0,0,0,0,0,83.6925287356322,2015,Regular,Grass,73.9,clear sky,4.6
1969,3682,2015,7,Smith,A,QB,11,Steelers,Chiefs,32,21,251,1,0,2,12,3,5,0,0,0,0,99.86979166666666,2015,Regular,Grass,66.0,clear sky,10.4
1989,3690,2015,7,Cassel,M,QB,16,Giants,Cowboys,27,17,227,1,3,1,0,1,4,0,0,0,0,55.632716049382715,2015,Regular,Turf,62.1,clear sky,16.1
2001,3683,2015,7,Tannehill,R,QB,17,Texans,Dolphins,19,18,282,4,0,4,41,1,3,0,0,0,0,213.0482456140351,2015,Regular,Grass,82.0,overcast,16.1
2011,3691,2015,7,Bradford,S,QB,8,Panthers,Eagles,46,26,205,0,1,2,12,3,6,0,0,0,0,58.69565217391304,2015,Regular,Grass,68.0,overcast,0.0
2020,3686,2015,7,Ryan,M,QB,2,Titans,Falcons,38,22,251,1,2,0,0,2,-3,0,0,0,0,64.69298245614036,2015,Regular,Grass,61.0,light rain,8.1
2031,3690,2015,7,Manning,E,QB,10,Cowboys,Giants,24,13,170,0,0,2,13,4,-4,0,0,0,0,76.7361111111111,2015,Regular,Turf,62.1,clear sky,16.1
2042,3680,2015,7,Bortles,B,QB,5,Bills,Jaguars,29,13,182,2,1,1,5,5,-3,0,0,0,0,74.20977011494253,2015,Regular,Grass,84.0,mostly cloudy,9.2
2052,3684,2015,7,Fitzpatrick,R,QB,12,Patriots,Jets,39,22,295,2,0,2,12,5,29,0,0,0,0,97.70299145299145,2015,Regular,Turf,60.1,overcast,6.9
